year_city,city,country,avg_temp_city,year_glob,avg_temp_glob
1987,Athens,Greece,17.32,1987,8.99
1988,Athens,Greece,17.66,1988,9.20
1989,Athens,Greece,17.48,1989,8.92
1990,Athens,Greece,18.05,1990,9.23
1991,Athens,Greece,17.07,1991,9.18
1992,Athens,Greece,17.13,1992,8.84
1993,Athens,Greece,17.53,1993,8.87
1994,Athens,Greece,18.47,1994,9.04
1995,Athens,Greece,17.82,1995,9.35
1996,Athens,Greece,17.46,1996,9.04
1997,Athens,Greece,17.35,1997,9.20
1998,Athens,Greece,18.15,1998,9.52
1999,Athens,Greece,18.82,1999,9.29
2000,Athens,Greece,18.20,2000,9.20
2001,Athens,Greece,18.67,2001,9.41
2002,Athens,Greece,18.33,2002,9.57
2003,Athens,Greece,17.95,2003,9.53
2004,Athens,Greece,18.07,2004,9.32
2005,Athens,Greece,17.91,2005,9.70
2006,Athens,Greece,17.78,2006,9.53
2007,Athens,Greece,18.67,2007,9.73
2008,Athens,Greece,18.61,2008,9.43
2009,Athens,Greece,18.52,2009,9.51
2010,Athens,Greece,19.30,2010,9.70
2011,Athens,Greece,17.67,2011,9.52
2012,Athens,Greece,18.82,2012,9.51
2013,Athens,Greece,19.36,2013,9.61
