tweet_id,retweet_count,favorite_count
877736472329191424,17389,74706
877611172832227328,73,0
877556246731214848,3495,21394
877316821321428993,4774,25809
877201837425926144,5124,25520
876838120628539392,3063,19498
876537666061221889,4305,22281
876484053909872640,2180,17692
876120275196170240,4294,26379
875747767867523072,3926,23723
875144289856114688,4514,20663
875097192612077568,5595,25886
875021211251597312,4348,24048
874680097055178752,4264,26238
874434818259525634,13384,0
874296783580663808,3781,24592
874057562936811520,3669,21447
874012996292530176,9451,32389
873580283840344065,3626,22879
873337748698140672,1473,0
873213775632977920,1473,6775
872967104147763200,5003,25802
872820683541237760,3438,13941
872620804844003328,3369,19598
872486979161796608,8349,38562
872122724285648897,7488,32494
871879754684805121,10177,35595
871762521631449091,3233,19164
871515927908634625,3224,19118
871166179821445120,5290,0
871102520638267392,5115,19837
871032628920680449,3551,21567
870804317367881728,5744,31906
870726314365509632,3,114
870656317836468226,2454,11738
870374049280663552,24599,78727
870308999962521604,3865,20810
870063196459192321,7738,34693
869772420881756160,9406,40409
869702957897576449,5873,26857
869596645499047938,2910,15179
869227993411051520,3525,19422
868880397819494401,13466,62244
868639477480148993,1938,0
868622495443632128,4951,25416
868552278524837888,1938,9604
867900495410671616,3910,23062
867774946302451713,6877,32389
867421006826221569,2330,15342
867072653475098625,112,0
867051520902168576,7383,30737
866720684873056260,4493,19125
866686824827068416,3274,18413
866450705531457537,33052,116707
866334964761202691,13384,50075
866094527597207552,7869,0
865718153858494464,5283,24521
865359393868664832,4708,25317
865006731092295680,7239,26800
864873206498414592,8181,30901
864279568663928832,2845,13952
864197398364647424,8336,28742
863907417377173506,3901,19740
863553081350529029,3951,14636
863471782782697472,2293,0
863432100342583297,4949,22809
863427515083354112,91,2117
863079547188785154,1048,8433
863062471531167744,2293,8125
862831371563274240,4861,18422
862722525377298433,3344,16413
862457590147678208,4663,19647
862096992088072192,21916,71352
861383897657036800,10147,34694
861288531465048066,3921,16506
861005113778896900,3618,16060
860981674716409858,2038,0
860924035999428608,761,0
860563773140209665,2038,7209
860524505164394496,5046,22750
860276583193509888,3330,17704
860184849394610176,5561,16081
860177593139703809,29413,0
859924526012018688,3901,18874
859851578198683649,3341,14875
859607811541651456,1488,17960
859196978902773760,28722,86736
859074603037188101,13006,32652
858860390427611136,7747,0
858843525470990336,3326,15055
858471635011153920,4641,20792
858107933456039936,2780,15240
857989990357356544,2482,15573
857746408056729600,10175,33166
857393404942143489,1573,5706
857263160327368704,4330,19433
857214891891077121,17,219
857062103051644929,164,0
857029823797047296,3825,18303
